artist Id,influencer 1,influencer 2,influencer 3,influencer 4,influencer 5
70,682482,548221,468812,411093,308470
150,682482,548221,411093,468812,308470
989,682482,468812,548221,411093,308470
16326,682482,548221,411093,468812,308470
